RANK,COMPANY NAME,GROWTH,EMPLOYEES,STATE, REVENUE ,FOUNDED,INDUSTRY
2568,Akorbi,166,800,TX,36.6 MM,2003,Business Products & Services
2601,Thornhill,164,18,CA,2.3 MM,2003,Insurance
2673,TBG Security,157,12,MA,4.0 MM,2003,Security
2697,Chesapeake Plumbing & Heating,155,120,DE,26.1 MM,2003,Construction
2701,AdaptiBar,155,9,IL,3.7 MM,2003,Education
2732,PRAXPEDITE,152,6,FL,4.3 MM,2003,Logistics & Transportation
2800,MRL Promotions,147,14,FL,4.4 MM,2003,Advertising & Marketing
2818,A2 Hosting,146,95,MI,12.8 MM,2003,IT System Development
2844,Ruby Receptionists,145,443,OR,37.6 MM,2003,Telecommunications
2851,PayLease,144,244,CA,72.3 MM,2003,Financial Services
2857,SourcePointe,144,29,AL,205.4 MM,2003,Human Resources
2889,Real Wealth Network,142,22,CA,3.9 MM,2003,Real Estate
2910,Express Homebuyers,140,17,VA,7.2 MM,2003,Real Estate
2918,Taradel,140,32,VA,18.9 MM,2003,Advertising & Marketing
2937,SUNation Solar Systems,139,155,NY,23.3 MM,2003,Energy
2981,SECURE DESIGNS,136,34,NC,7.6 MM,2003,IT Management
2987,Hancock Claims Consultants,136,335,GA,42.0 MM,2003,Insurance
3055,Ferrilli,131,68,NJ,11.8 MM,2003,Education
3058,Sandler Partners,131,52,CA,79.7 MM,2003,Telecommunications
3062,Bean Group,131,25,NH,35.8 MM,2003,Real Estate
3076,Consumer Real Estate Finance Co.,130,66,FL,6.4 MM,2003,Financial Services
3089,Xtek Partners,129,48,OH,29.6 MM,2003,Computer Hardware
3112,Flexible Assembly Systems,127,28,CA,24.4 MM,2003,Manufacturing
3114,LiquidAgents Healthcare,127,524,TX,57.7 MM,2003,Health
3142,Platinum Payment Systems,126,12,UT,6.7 MM,2003,Financial Services
3167,Datatility,125,17,VA,5.8 MM,2003,IT Management
3178,developintelligence,124,17,CO,6.3 MM,2003,Education
3203,SecureLink,123,41,TX,10.8 MM,2003,Software
3204,Squaremouth,123,37,FL,10.2 MM,2003,Travel & Hospitality
3227,Roundstone,122,56,OH,13.4 MM,2003,Insurance
3239,New American Funding,122,2685,CA,443.0 MM,2003,Financial Services
3271,Phoenics Electronics,120,39,MA,134.6 MM,2003,Business Products & Services
3275,Acadia Shutters & Blinds,120,20,GA,7.4 MM,2003,Retail
3288,OSM Worldwide,119,55,IL,91.5 MM,2003,Logistics & Transportation
3290,Siteline Interior Carpentry,119,280,IL,45.5 MM,2003,Construction
3296,Tusk Enterprises,118,48,TX,40.2 MM,2003,Health
3303,Fortis Construction,118,240,OR,615.2 MM,2003,Construction
3306,PT Solutions Physical Therapy,118,1038,GA,68.6 MM,2003,Health
3318,GSI Health,117,54,PA,10.4 MM,2003,Health
3349,ReEmployAbility,116,59,FL,7.0 MM,2003,Insurance
3383,MediSked,114,51,NY,5.0 MM,2003,Software
3386,AM Construction,114,105,GA,21.8 MM,2003,Construction
3426,DiamondBack Truck Covers,111,61,PA,10.8 MM,2003,Manufacturing
3443,DataShield,111,17,NE,2.8 MM,2003,Business Products & Services
3445,Workhorse Marketing,111,17,TX,2.6 MM,2003,Advertising & Marketing
3495,Signal 88 Security,108,2595,NE,73.2 MM,2003,Security
3496,Strike,108,5939,TX,1401.3 MM,2003,Energy
3502,d-Wise,108,80,NC,18.4 MM,2003,Software
3535,ComplySci,107,68,NY,11.1 MM,2003,Financial Services
3554,Alcova Mortgage,106,252,VA,37.7 MM,2003,Real Estate
3602,Outback Landscape,104,30,ID,3.4 MM,2003,Construction
3653,Information Technology Professionals,101,54,WI,8.1 MM,2003,IT Management
3672,NGA Group,101,70,NJ,9.2 MM,2003,IT System Development
3723,Teriyaki Madness,99,20,CO,4.1 MM,2003,Food & Beverage
3730,Pyramid Consulting Group,99,55,NY,13.0 MM,2003,Human Resources
3773,HS2 Solutions,97,191,IL,27.6 MM,2003,IT System Development
3781,brandMD Skin Care,96,30,CA,8.2 MM,2003,Health
3807,Myriad Supply,95,102,NY,127.6 MM,2003,IT Management
3810,Valiance Partners,95,60,NJ,9.7 MM,2003,Software
3827,Arthur Lawrence Consulting,95,88,TX,14.2 MM,2003,Financial Services
3879,ACMETEK GLOBAL SOLUTIONS,92,10,NJ,3.1 MM,2003,Security
3956,LHT Group,90,24,OH,2.9 MM,2003,Education
3973,Jade Global,89,830,CA,31.4 MM,2003,IT Management
3980,Perceptyx,89,70,CA,17.4 MM,2003,Human Resources
3983,Total Nutrition Technology,89,65,FL,8.8 MM,2003,Manufacturing
3987,AA Metals,89,45,FL,298.8 MM,2003,Business Products & Services
3996,Morales Group,88,137,IN,90.6 MM,2003,Human Resources
4028,ReSource Pro,87,3200,NY,74.9 MM,2003,Insurance
4033,Logistic Dynamics,87,32,NY,115.8 MM,2003,Logistics & Transportation
4038,Inspired eLearning,87,76,TX,12.6 MM,2003,Education
4051,Office Evolution,86,35,CO,6.9 MM,2003,Business Products & Services
4074,Tarrytech Security,86,15,NY,3.2 MM,2003,IT Management
4102,Project Management Academy,85,34,IN,17.7 MM,2003,Education
4106,DutchCrafters,85,31,FL,11.2 MM,2003,Retail
4156,ReminderMedia,83,201,PA,34.8 MM,2003,Advertising & Marketing
4167,3 Blind Mice Window Coverings,83,49,CA,6.9 MM,2003,Business Products & Services
4221,Dreamclinic,81,130,WA,4.1 MM,2003,Health
4236,Cornerstone Engineering,80,14,KY,3.7 MM,2003,Engineering
4251,Dynamic Physical Therapy Services,79,30,NY,3.0 MM,2003,Health
4281,ERP Analysts,79,483,OH,85.6 MM,2003,IT System Development
4291,CQ fluency,78,22,NJ,10.0 MM,2003,Business Products & Services
4309,Proven IT,78,206,IL,47.1 MM,2003,Business Products & Services
4312,Vertex Innovations,78,43,CO,8.6 MM,2003,Telecommunications
4372,TechCXO,76,100,GA,19.5 MM,2003,Business Products & Services
4400,RSI Construction,75,50,TX,45.9 MM,2003,Construction
4427,Monster Transmission,74,75,FL,9.9 MM,2003,Manufacturing
4429,LTD Global,74,24,CA,2.9 MM,2003,Business Products & Services
4436,Redtail Technology,74,80,CA,15.7 MM,2003,Software
4439,Client Solution Architects,74,348,PA,70.0 MM,2003,Business Products & Services
4458,TechMD,74,58,CA,7.2 MM,2003,IT Management
4461,Winslow Technology Group,74,36,MA,27.1 MM,2003,IT Management
4482,DK Consulting,73,70,MD,8.6 MM,2003,IT Management
4555,Division-D,71,76,MO,36.6 MM,2003,Advertising & Marketing
4639,US Med-Equip,68,175,TX,39.0 MM,2003,Health
4649,ASP Global,68,64,GA,41.0 MM,2003,Health
4678,ROCS Staffing,67,10,VA,4.5 MM,2003,Human Resources
4709,The Reagor Dykes Auto Group,66,655,TX,780.9 MM,2003,Retail
4717,Access Networks,66,28,CA,16.2 MM,2003,IT Management
4733,Aterra Real Estate,65,9,IA,6.0 MM,2003,Real Estate
4780,Total Maintenance Services,64,75,NJ,3.5 MM,2003,Business Products & Services
4786,PrimeRevenue,64,175,GA,29.2 MM,2003,Financial Services
4795,KRG TECHNOLOGIES,64,68,CA,53.8 MM,2003,Software
4797,CNM LLP,64,74,CA,17.1 MM,2003,Business Products & Services
4801,Saxum,63,46,OK,11.2 MM,2003,Advertising & Marketing
4807,ProSites,63,144,CA,20.5 MM,2003,Health
4808,Meeting Tomorrow,63,76,IL,18.3 MM,2003,Business Products & Services
4840,Fosina Marketing Group,62,37,CT,3.6 MM,2003,Advertising & Marketing
4867,Thread,61,19,GA,2.5 MM,2003,Human Resources
4878,AVIAN,61,234,MD,38.1 MM,2003,Government Services
4918,Alto Health Care Staffing,60,175,OH,6.8 MM,2003,Human Resources
4924,Horizontal Integration,60,686,MN,83.7 MM,2003,IT System Development
4934,Veterans Home Care,59,98,MO,34.3 MM,2003,Health
4954,The Institute for Wealth Management,59,4,CO,5.6 MM,2003,Financial Services
4976,Intellectual Capitol,58,23,SC,4.0 MM,2003,IT System Development
4984,Energy Fitness,58,140,NY,4.3 MM,2003,Health
4997,Progressive Freight,57,12,GA,10.7 MM,2003,Logistics & Transportation
298,Beacon Bay Project Management,"1,645",30,FL,18.2 MM,2004,Construction
537,National Merchants Association,933,158,CA,81.2 MM,2004,Financial Services
668,Tailstorm Health,749,10,AZ,24.0 MM,2004,Health
759,Landmark Properties,664,602,GA,331.5 MM,2004,Real Estate
765,Adestra,655,17,TX,2.7 MM,2004,Advertising & Marketing
780,Health Carousel,640,443,OH,180.7 MM,2004,Health
793,The Fila Group,630,18,VA,2.4 MM,2004,Government Services
825,G Fuel,607,35,NY,19.4 MM,2004,Health
843,B & D Consulting,597,105,MD,14.1 MM,2004,IT Management
879,ASB Resources,571,60,NJ,8.3 MM,2004,IT System Development
1122,Tickets for Less,439,29,KS,47.5 MM,2004,Consumer Products & Services
1143,Capital Wealth Advisors,429,37,FL,5.9 MM,2004,Financial Services
1265,Topix,383,30,CA,38.8 MM,2004,Media
1298,SOR Technology,368,94,CA,75.7 MM,2004,Travel & Hospitality
1331,UpperRanchCo,361,25,CO,2.4 MM,2004,Human Resources
1378,Vee Technologies,343,29,NY,22.1 MM,2004,Business Products & Services
1441,Core Nutritionals,324,8,VA,4.4 MM,2004,Health
1470,Quadrant Resource,318,51,WA,5.3 MM,2004,Software
1494,PriceSpider,315,76,CA,16.5 MM,2004,Software
1527,ClearCompany,309,95,MA,12.0 MM,2004,Human Resources
1546,Synergy Information Solutions,304,12,CA,14.6 MM,2004,IT Management
1550,Interactions,303,413,MA,92.9 MM,2004,Business Products & Services
1608,SunnyBoy Entertainment,289,20,CA,4.4 MM,2004,Media
1647,CEI Staffing,281,94,FL,2.1 MM,2004,Human Resources
1709,HORUS Technology Solutions,268,19,MD,4.9 MM,2004,IT System Development
1720,Bright Power,266,100,NY,23.3 MM,2004,Energy
1722,Spectra Info Systems,265,22,GA,2.2 MM,2004,IT System Development
1807,TELERADIOLOGY SPECIALISTS,249,29,AZ,18.6 MM,2004,Health
1870,Grove Street Investment,240,7,NY,5.1 MM,2004,Financial Services
1927,Xelerate,232,38,PA,4.0 MM,2004,Human Resources
1941,INTER-OP,231,48,VA,2.5 MM,2004,IT Management
1946,Intuitive Web Solutions,230,82,MO,7.2 MM,2004,Software
1947,Wiilcom Business Technology Solutions,230,10,IL,2.0 MM,2004,IT Management
2016,OmniPrint International,221,29,CA,5.1 MM,2004,Business Products & Services
2023,Netgate,221,42,TX,12.5 MM,2004,Software
2036,Buildium,219,184,MA,33.2 MM,2004,Software
2046,Agilis Systems,218,85,MO,25.8 MM,2004,Software
2047,Spur,218,2232,AL,38.0 MM,2004,Human Resources
2051,ScribeAmerica,217,15004,FL,245.8 MM,2004,Health
2058,ESO Solutions,217,133,TX,21.4 MM,2004,Software
2061,Broad Sky Networks,216,14,OR,5.3 MM,2004,Telecommunications
2152,Adopt Technologies,206,12,AZ,2.1 MM,2004,IT Management
2186,JKL Technologies,203,51,CA,12.1 MM,2004,Telecommunications
2219,Higher State Technology,199,20,TX,2.2 MM,2004,IT Management
2252,Koya Leadership Partners,195,51,MA,10.9 MM,2004,Human Resources
2260,Rise Interactive,195,225,IL,117.1 MM,2004,Advertising & Marketing
2290,Sath,192,42,IL,5.3 MM,2004,IT Management
2293,Vivax Pros,191,153,CO,39.0 MM,2004,Construction
2310,Deep Blue Communications,190,115,NY,25.8 MM,2004,IT Management
2344,Linkmedia 360,186,60,OH,5.5 MM,2004,Advertising & Marketing
2351,Search Discovery,184,98,GA,16.2 MM,2004,Advertising & Marketing
2396,Sunset Healthcare Solutions,181,50,IL,30.5 MM,2004,Health
2401,NeonCRM,180,45,IL,5.7 MM,2004,Software
2403,Owenby Law,180,24,FL,3.0 MM,2004,Business Products & Services
2424,Ombligo,178,32,NY,6.9 MM,2004,Computer Hardware
2492,InfoTrust,172,31,OH,5.6 MM,2004,Advertising & Marketing
2502,Doceo Office Solutions,172,27,PA,5.3 MM,2004,Business Products & Services
2525,AgileThought,170,320,FL,56.6 MM,2004,Software
2576,The Service Fort,165,115,GA,10.2 MM,2004,Business Products & Services
2582,"Bellows Plumbing, Heating & Air",165,97,CA,10.7 MM,2004,Construction
2599,Orsini Healthcare,164,100,IL,405.9 MM,2004,Health
2606,INK Communications,163,33,TX,4.9 MM,2004,Advertising & Marketing
2635,New Project,161,28,NY,3.6 MM,2004,Manufacturing
2648,KWA Construction,160,64,TX,128.5 MM,2004,Construction
2700,Cerebra Consulting,155,30,PA,5.8 MM,2004,Software
2719,Lexicon Solutions,153,57,OR,5.0 MM,2004,Business Products & Services
2751,SearchPros Solutions,151,1200,CA,34.8 MM,2004,Human Resources
2789,The Cabinet Joint,148,13,NC,5.5 MM,2004,Consumer Products & Services
2924,CO2 Partners,140,3,MN,2.0 MM,2004,Business Products & Services
3021,Boardroom Salon for Men,133,242,TX,17.0 MM,2004,Consumer Products & Services
3025,SHP Financial,133,20,MA,4.2 MM,2004,Financial Services
3039,Exscape Designs,133,27,OH,6.6 MM,2004,Construction
3042,Century Business Solutions,132,80,CA,16.0 MM,2004,Financial Services
3054,Clarity Partners,131,138,IL,26.7 MM,2004,IT System Development
3070,AltSource,130,102,OR,13.6 MM,2004,Software
3074,JHDS Structural Steel Fabricators,130,25,NJ,7.1 MM,2004,Construction
3096,Wittenberg Weiner Consulting,129,87,FL,14.8 MM,2004,Government Services
3111,InterLinc Mortgage Services,127,408,TX,71.4 MM,2004,Real Estate
3124,Access Information Management,127,1669,MA,299.0 MM,2004,IT Management
3126,MassPay,127,44,MA,5.4 MM,2004,Business Products & Services
3127,IMPACT Branding & Design,127,41,CT,3.7 MM,2004,Advertising & Marketing
3129,Percepture,127,4,NY,2.4 MM,2004,Advertising & Marketing
3132,Tech Guru,126,9,MN,2.8 MM,2004,IT Management
3146,Nu Image Medical,126,30,FL,5.7 MM,2004,Health
3161,BayCom,125,0,CA,44.3 MM,2004,Financial Services
3163,Homeowners Financial Group,125,398,AZ,60.1 MM,2004,Financial Services
3165,Windhaven Insurance,125,700,FL,434.3 MM,2004,Insurance
3168,Entrusted,124,65,FL,11.8 MM,2004,Construction
3172,Gold Public Relations,124,22,CA,14.2 MM,2004,Advertising & Marketing
3180,Opex Technologies,124,15,NC,2.4 MM,2004,IT Management
3199,Point 2 Point Global Security,123,1365,TX,58.6 MM,2004,Security
3217,TeamLogic IT,122,416,CA,5.7 MM,2004,IT Management
3242,Ampcus,121,1210,VA,69.7 MM,2004,IT System Development
3273,DRT Strategies,120,247,VA,54.0 MM,2004,Government Services
3302,Atlantic Research Group,118,76,VA,12.7 MM,2004,Health
3314,Ruckus Marketing,118,18,NY,3.7 MM,2004,Advertising & Marketing
3328,MOXKOR,117,47,CA,16.3 MM,2004,Financial Services
3351,Ski Butlers,116,300,UT,7.0 MM,2004,Travel & Hospitality
3361,CE-Solutions,115,76,PA,12.4 MM,2004,Human Resources
3373,Medicus Healthcare Solutions,114,330,NH,189.5 MM,2004,Health
3378,Cumberland Consulting Group,114,463,TN,105.8 MM,2004,Health
3446,Impiger Technologies,111,301,TX,7.0 MM,2004,Software
3458,Swift HR Solutions,110,24,WA,3.4 MM,2004,Human Resources
3476,KEVIN.MURPHY,109,98,CA,73.4 MM,2004,Consumer Products & Services
3483,Monogram Foods,109,2700,TN,670.7 MM,2004,Food & Beverage
3490,N2 Publishing,108,255,NC,136.9 MM,2004,Media
3498,Culmen International,108,90,VA,42.6 MM,2004,Government Services
3499,NewWave Telecom and Technologies,108,200,MD,41.5 MM,2004,Government Services
3519,Zoom Technical Services,107,18,MA,8.9 MM,2004,Business Products & Services
3549,DentalPost,106,9,GA,4.2 MM,2004,Health
3553,EquipSystems,106,65,NY,6.6 MM,2004,Health
3581,Trinity Multifamily,105,321,AR,3.8 MM,2004,Real Estate
3689,Gongs Unlimited,100,14,NE,2.5 MM,2004,Retail
3697,WGroup,100,71,PA,22.6 MM,2004,IT Management
3727,GrowthForce,99,56,TX,4.7 MM,2004,Business Products & Services
3732,European Wax Center,98,384,FL,114.9 MM,2004,Consumer Products & Services
3764,Globe Acceptance,97,12,IA,3.2 MM,2004,Financial Services
3780,Elephant Ventures,96,49,NY,6.3 MM,2004,Software
3797,SBS CyberSecurity,96,64,SD,9.0 MM,2004,Financial Services
3805,Three Sigma Software,95,62,MD,14.8 MM,2004,Software
3806,Rich Duncan Construction,95,32,OR,30.5 MM,2004,Construction
3809,Rainmaker Ad Ventures,95,3,CA,16.2 MM,2004,Advertising & Marketing
3824,Centrify,95,560,CA,103.0 MM,2004,Software
3832,Kyber Security,94,24,CT,4.6 MM,2004,IT Management
3844,OpenRoad Transportation,94,60,OR,45.1 MM,2004,Logistics & Transportation
3851,Barra & Associates,93,65,IL,5.2 MM,2004,Insurance
3859,Team Epiphany,93,59,NY,22.7 MM,2004,Advertising & Marketing
3862,United Medco,93,75,FL,23.4 MM,2004,Health
3887,DKBinnovative,92,13,TX,2.7 MM,2004,IT Management
3902,Nuun & Company,91,56,WA,21.6 MM,2004,Food & Beverage
3914,Frazil,91,20,UT,9.4 MM,2004,Consumer Products & Services
3933,Pinnacle Dermatology,90,101,IL,15.5 MM,2004,Health
3963,Al's Complete Lawn Care,90,138,KY,6.8 MM,2004,Construction
3974,LMG,89,30,OH,5.3 MM,2004,Advertising & Marketing
3999,Onicx,88,29,FL,25.3 MM,2004,Construction
4027,Coranet,87,54,NY,63.0 MM,2004,IT Management
4053,Hanapin Marketing,86,64,IN,7.9 MM,2004,Business Products & Services
4060,Nebo,86,90,GA,12.9 MM,2004,Advertising & Marketing
4111,GAMA SONIC USA,85,14,GA,7.0 MM,2004,Consumer Products & Services
4118,T and T Consulting Services,84,91,VA,17.6 MM,2004,Government Services
4120,The Northbridge Companies,84,1273,MA,74.8 MM,2004,Health
4128,Hollister Construction Services,84,152,NJ,231.2 MM,2004,Construction
4134,Clarisoft Technologies,84,66,NY,3.0 MM,2004,Software
4169,Dependable Global Solutions,83,150,VA,25.6 MM,2004,Security
4172,Sydor Technologies,82,40,NY,10.5 MM,2004,Manufacturing
4187,522 Productions,82,14,VA,2.4 MM,2004,Media
4198,Phaidon International,81,628,NY,89.6 MM,2004,Human Resources
4214,FNB Merchants,81,10,TN,7.8 MM,2004,Business Products & Services
4226,Carahsoft Technology,80,900,VA,4107.5 MM,2004,Government Services
4256,ej4,79,34,MO,7.4 MM,2004,Business Products & Services
4263,"Millennium (Lake Geneva, WI)",79,68,WI,61.4 MM,2004,Telecommunications
4288,Bulk TV & Internet,78,155,NC,98.0 MM,2004,Business Products & Services
4313,Ascend Marketing,78,46,TX,8.1 MM,2004,Advertising & Marketing
4323,The Everest Equity Company,77,36,NY,5.7 MM,2004,Financial Services
4326,Sanity Solutions,77,32,CO,46.1 MM,2004,Computer Hardware
4329,ZestFinance,77,85,CA,95.2 MM,2004,Financial Services
4353,The Premier Group (Utah),76,300,UT,271.2 MM,2004,Human Resources
4370,Ryan Gootee General Contractors,76,37,LA,50.7 MM,2004,Construction
4399,Audacious Inquiry,75,108,MD,21.8 MM,2004,Software
4402,TheeDesign,75,28,NC,2.3 MM,2004,Advertising & Marketing
4412,Sober Escorts,75,10,FL,2.1 MM,2004,Health
4435,Creative Approach,74,49,GA,2.5 MM,2004,Business Products & Services
4437,Equian,74,1615,IN,279.3 MM,2004,Health
4446,SaveAround,74,100,NY,15.9 MM,2004,Consumer Products & Services
4468,Sendero,73,157,TX,21.7 MM,2004,Business Products & Services
4472,Cask,73,175,CA,46.3 MM,2004,Government Services
4481,Harvest Software Solutions,73,19,FL,2.6 MM,2004,IT System Development
4501,Carlson Exteriors,73,40,IL,7.8 MM,2004,Construction
4548,ExpertVoice,71,229,UT,33.7 MM,2004,Advertising & Marketing
4575,Lifesprk,71,302,MN,21.5 MM,2004,Health
4579,Jackrabbit Technologies,71,48,NC,10.9 MM,2004,Software
4599,Fab Fours,70,97,SC,19.5 MM,2004,Manufacturing
4623,Airosmith Development,69,45,NY,8.5 MM,2004,Telecommunications
4661,DGD Transport,68,85,FL,11.3 MM,2004,Logistics & Transportation
4700,Goken America,66,233,OH,23.7 MM,2004,Engineering
4708,Oceans Healthcare,66,1504,TX,109.6 MM,2004,Health
4726,Rabbit Air,66,24,CA,12.0 MM,2004,Consumer Products & Services
4742,Staff Zone,65,130,GA,80.5 MM,2004,Human Resources
4819,Celergo,63,153,IL,34.2 MM,2004,Human Resources
4837,Coury & Buehler Physical Therapy,62,180,CA,11.7 MM,2004,Health
4841,Titan Growth,62,44,CA,8.6 MM,2004,Advertising & Marketing
4844,Safe Hiring Solutions,62,36,IN,3.6 MM,2004,Security
4850,Objectstream,62,40,OK,3.6 MM,2004,Government Services
4917,Sock It to Me,60,49,OR,11.9 MM,2004,Retail
4941,Page Per Page,59,11,AZ,3.3 MM,2004,Business Products & Services
4966,CoTa Global,58,29,CA,6.3 MM,2004,Consumer Products & Services
5000,Pedigree Technologies,57,69,ND,14.3 MM,2004,Software
157,Inspiranza Designs,"2,679",7,IL,2.9 MM,2005,Retail
203,ARM Consulting,"2,230",11,VA,3.0 MM,2005,Government Services
223,Tridant Solutions,"2,113",41,CA,2.6 MM,2005,Government Services
224,Y-Tech,"2,103",91,MD,11.7 MM,2005,Government Services
295,My Home Group Real Estate,"1,649",1200,AZ,48.2 MM,2005,Real Estate
350,Tralongo,"1,423",231,FL,22.5 MM,2005,Health
579,Ideal Concepts,864,47,PA,11.8 MM,2005,Insurance
598,Position2,839,206,CA,29.0 MM,2005,Advertising & Marketing
670,TESCHGlobal,746,51,WI,6.2 MM,2005,IT Management
725,American Insurance Organization,689,47,PA,30.5 MM,2005,Insurance
744,Blueprint Technologies,675,608,WA,67.7 MM,2005,Business Products & Services
795,70E Solutions,629,16,PA,9.5 MM,2005,Construction
876,Baby Bling,572,20,UT,4.4 MM,2005,Manufacturing
907,Intercontinental Capital Group,547,585,NY,81.1 MM,2005,Financial Services
1053,Big Hammer Wines,467,1,CA,5.2 MM,2005,Food & Beverage
1059,Gideon USA,465,53,TX,36.2 MM,2005,Construction
1149,Acrisure,428,4623,MI,1039.9 MM,2005,Insurance
1168,ITA INternational,418,330,VA,50.4 MM,2005,Government Services
1184,KLDiscovery,409,1189,VA,281.2 MM,2005,Business Products & Services
1225,twelve NYC,395,27,NY,24.2 MM,2005,Business Products & Services
1253,Mobile Posse,387,49,DC,40.3 MM,2005,Advertising & Marketing
1259,Credence Management Solutions,385,515,VA,99.6 MM,2005,Government Services
1354,Legacy Service,351,76,PA,19.3 MM,2005,Construction
1360,DIGITALSPEC,349,98,VA,14.0 MM,2005,IT Management
1379,FlexPrint Managed Print Solutions,343,750,AZ,194.2 MM,2005,Business Products & Services
1421,Beer Home Team,330,18,CA,2.9 MM,2005,Real Estate
1459,Easy Song Licensing,320,5,MN,2.0 MM,2005,Media
1532,Retreatia Holdings,308,92,CO,7.5 MM,2005,Travel & Hospitality
1533,Nolan Transportation Group,308,719,GA,468.6 MM,2005,Logistics & Transportation
1544,Elite Pacific Properties,305,19,HI,34.1 MM,2005,Real Estate
1560,Avtec Homes,301,12,FL,12.5 MM,2005,Construction
1565,Criterion Systems,299,320,VA,70.7 MM,2005,Government Services
1584,Rang Technologies,294,176,NJ,16.3 MM,2005,IT Management
1658,Dovel Technologies,278,923,VA,190.8 MM,2005,IT System Development
1699,Noor Staffing Group,270,6280,NY,65.8 MM,2005,Human Resources
1718,TerraFirma Foundation Systems,266,178,OR,30.4 MM,2005,Construction
1757,Adventus Technologies,259,57,TX,2.1 MM,2005,Government Services
1773,Monarch Private Capital,256,40,GA,132.1 MM,2005,Financial Services
1846,Delta T Equipment,244,18,TX,17.2 MM,2005,Construction
1863,SkyLine Scaffold,241,70,CA,12.1 MM,2005,Construction
1868,Enterprise Horizon Consulting Group,240,35,CA,10.3 MM,2005,IT Management
1895,Bestica,237,116,TX,8.5 MM,2005,IT Management
1925,Arklign,233,12,CA,2.5 MM,2005,Health
1931,VersaTech,232,154,MD,36.7 MM,2005,IT Management
1932,Advantage Media Group,232,64,SC,11.8 MM,2005,Media
1977,Valiant Solutions,226,106,NC,21.2 MM,2005,Government Services
1982,Wright Brothers,225,5,CA,4.3 MM,2005,Real Estate
2005,"College Hunks Hauling Junk and Moving (Tampa, FL)",223,104,FL,11.7 MM,2005,Consumer Products & Services
2006,Innovative Reasoning,223,205,FL,26.3 MM,2005,Government Services
2056,Vighter Medical Group,217,150,TX,8.7 MM,2005,Health
2065,Saxbys,216,450,PA,8.6 MM,2005,Food & Beverage
2069,Keller Williams Advantage,215,200,OH,7.7 MM,2005,Real Estate
2077,TISTA Science and Technology,214,296,MD,95.5 MM,2005,Government Services
2083,PowerReviews,213,137,IL,24.2 MM,2005,Software
2090,infoLock Technologies,213,26,VA,12.9 MM,2005,Security
2108,Fastmore Logistics,211,68,IL,38.2 MM,2005,Logistics & Transportation
2123,Priority Title & Escrow,209,54,VA,5.0 MM,2005,Real Estate
2125,Spice Jungle,209,16,MI,6.0 MM,2005,Food & Beverage
2167,Exact Solar,205,9,PA,2.6 MM,2005,Energy
2178,2120 Creative,204,10,PA,2.5 MM,2005,Advertising & Marketing
2214,Meredith Lodging,199,109,OR,7.0 MM,2005,Real Estate
2232,Prime Real Estate,197,134,IN,7.6 MM,2005,Real Estate
2236,Patra,197,2391,CA,34.8 MM,2005,Insurance
2237,Oportun,197,2629,CA,361.0 MM,2005,Financial Services
2265,Protect My Car,194,184,FL,106.6 MM,2005,Insurance
2270,Playags,194,0,NV,212.0 MM,2005,Business Products & Services
2278,Citizen,193,36,CA,7.7 MM,2005,Construction
2282,AnchorFree,193,88,CA,71.2 MM,2005,Security
2315,Human<>Element,189,41,MI,4.6 MM,2005,Software
2330,PlanOmatic,187,52,CO,11.2 MM,2005,Real Estate
2350,nLogic,185,247,AL,41.6 MM,2005,Government Services
2360,TIME Systems,184,36,VA,2.9 MM,2005,Government Services
2365,Sports Made Personal,183,88,IL,9.1 MM,2005,Consumer Products & Services
2394,JMF Solutions,181,31,AL,3.7 MM,2005,Telecommunications
2420,Go Fish Digital,178,33,NC,3.7 MM,2005,Advertising & Marketing
2425,Thrive Internet Marketing Agency,178,46,TX,3.3 MM,2005,Advertising & Marketing
2439,Surf9,177,16,FL,17.6 MM,2005,Consumer Products & Services
2440,RM ADVISORY SERVICES,177,45,VA,5.5 MM,2005,Government Services
2453,AffiniPay,176,103,TX,35.6 MM,2005,Financial Services
2495,Kore1,172,250,CA,19.4 MM,2005,Human Resources
2513,Culture Studio,170,80,IL,9.7 MM,2005,Consumer Products & Services
2522,LeafFilter Gutter Protection,170,1500,OH,182.9 MM,2005,Consumer Products & Services
2526,Fun and Function,169,9,PA,9.9 MM,2005,Retail
2543,Sovereign Lending Group,168,89,CA,18.7 MM,2005,Financial Services
2547,Brinkman,168,28,CO,3.3 MM,2005,Real Estate
2550,Paramount Business Jets,168,20,VA,15.4 MM,2005,Travel & Hospitality
2602,Proforma BrandCentric Solutions,164,8,TX,3.2 MM,2005,Business Products & Services
2610,CoConstruct,163,63,VA,7.4 MM,2005,Software
2623,HYPER,161,8,CA,16.6 MM,2005,Computer Hardware
2636,Arrow Digital,161,118,FL,18.5 MM,2005,Software
2649,Active Treatment Systems,159,17,CA,6.3 MM,2005,Environmental Services
2652,Clearent,159,344,MO,319.4 MM,2005,Financial Services
2667,Union Wine Company,158,23,OR,20.2 MM,2005,Food & Beverage
2681,Medical Guardian,156,200,PA,33.5 MM,2005,Health
2690,High Speed Welding,155,16,NC,2.0 MM,2005,Manufacturing
2707,OnceLogix,154,20,NC,4.0 MM,2005,Software
2760,Walrus,150,22,NY,4.6 MM,2005,Advertising & Marketing
2802,ListEngage,147,46,MA,6.0 MM,2005,Advertising & Marketing
2807,Famous Toastery,147,870,NC,28.6 MM,2005,Food & Beverage
